,lang,freq
0,python,105
1,sql,59
2,tensorflow,41
3,pytorch,35
4,ml,30
5,pandas,17
6,ai,17
7,java,14
8,c++,13
9,spark,11
10,dl,10
11,numpy,8
12,scikit,8
13,keras,8
14,bi,7
15,db,7
16,scala,7
17,scikit learn,7
18,processing,6
19,c,6
20,etc,6
21,insight,6
22,rdbms,6
23,python tensorflow,6
24,python pytorch,6
