,lang,freq
0,Kotlin,125
1,Java,83
2,API,58
3,React,57
4,Flutter,50
5,Git,50
6,React Native,37
7,MVVM,32
8,RESTful,32
9,Javascript,27
10,UI UX,22
11,REST,20
12,Typescript,19
13,Swift,19
14,kotlin android,19
15,c,17
16,rest api,17
17,kotlin java,16
18,c++,15
19,android kotlin,14
20,html,13
21,css,12
22,aac,11
23,http,11
24,android java,11
25,kotlin mvvm,10
