,lang,freq
0,python,10
1,linux,10
2,c,8
3,ble,6
4,rtos,6
5,ros2,5
6,ap,4
7,c++,4
8,iot,4
9,hw,4
10,driver,4
11,embedded sw,4
12,firmware,3
13,sdn,3
14,network,3
15,kernel,3
16,ros1,3
17,stm32,3
18,spi,3
19,i2c,3
20,uart,3
21,ros,3
22,java,3
23,device,3
24,pcb,3
25,soc,3
26,wifi,3
27,ros1 ros2,3
28,c python,3
29,rtos embedded,3
