,lang,freq
0,Unity,23
1,C#,19
2,C++,12
3,Unreal,7
4,C,6
5,Vision,4
6,Shader,4
7,Python,3
8,AR,3
9,Graphics,3
10,GitHub,3
11,UGUI,3
12,computer vision,3
13,c# unity,3
14,unity c#,3
15,designer,2
16,processing,2
17,webgl,2
18,vr,2
19,ai,2
20,pytorch,2
21,engine,2
22,directx,2
23,opengl,2
24,visual,2
25,git,2
26,ngui,2
27,xr,2
28,unirx,2
29,graph,2
30,unity unity,2
31,ar vr,2
32,learning python,2
33,python pytorch,2
34,directx opengl,2
35,unreal unreal,2
36,unity ugui,2
37,ugui c#,2
