,lang,freq
0,Swift,36
1,React,35
2,RxSwift,33
3,Flutter,33
4,MVVM,29
5,Git,28
6,UI UX,26
7,C,25
8,Kotlin,20
9,React Native,20
10,API,19
11,Objective C,17
12,Firebase,15
13,Java,14
14,SwiftUI,14
15,Jira,14
16,ci cd,13
17,unity,12
18,combine,11
19,aws,11
20,c++,11
21,unit,11
22,agile,11
23,store,11
24,reactive,11
25,mvp,11
26,javascript,10
27,confluence,10
28,ios android,10
29,jira confluence,10
30,web,9
31,github,9
32,typescript,9
