,lang,freq
0,Swift,106
1,React,54
2,API,53
3,Flutter,47
4,Git,40
5,React Native,35
6,RESTful,32
7,C,27
8,Javascript,25
9,UI UX,22
10,MVVM,21
11,Objective C,21
12,Kotlin,18
13,Typescript,17
14,RxSwift,17
15,java,16
16,rest,16
17,c swift,14
18,rest api,14
19,html,11
20,css,11
21,github,11
22,http,11
23,swiftui,10
24,unity,9
25,ios objective,9
26,ios ios,9
