,lang,freq
0,react,197
1,typescript,157
2,aws,108
3,git,73
4,api,70
5,webpack,65
6,javascript,64
7,vue,56
8,redux,55
9,react native,54
10,ssr,52
11,ui ux,52
12,next,50
13,css,40
14,spa,39
15,ci cd,39
16,node js,37
17,github,34
18,tdd,32
19,docker,30
20,web,30
21,restful,29
22,seo,29
23,graphql,28
24,framework,27
25,slack,27
26,jira,26
27,angular,26
28,java,25
29,figma,24
30,restful api,24
31,cloud,23
32,mobx,23
33,kubernetes,22
