,lang,freq
0,C,37
1,C++,37
2,Linux,9
3,MCU,7
4,Python,6
5,OS,6
6,Embedded Linux,5
7,Firmware,4
8,Java,4
9,driver,4
10,git,3
11,arm,3
12,datasheet,3
13,tcp,3
14,embedded sw,3
15,pm tm,3
