,lang,freq
0,ai,34
1,ml,27
2,aws,27
3,spark,24
4,python,17
5,hadoop,17
6,tableau,13
7,tensorflow,12
8,gcp,12
9,bi,12
10,kaggle,9
11,pytorch,9
12,kafka,9
13,docker,8
14,airflow,8
15,aws gcp,8
16,google,7
17,machine learning,7
18,hadoop spark,7
19,kubernetes,6
20,dl,6
21,mlops,6
22,framework,6
23,sql,6
24,api,6
25,etl,6
26,git,6
